commodity,market,price_rwf,price_date
Cabbage,Kigali City Market,434,2024-01-01
Bananas,Kigali City Market,639,2024-01-01
Beans (Dry),Kimisagara,1183,2024-01-02
Beans (Dry),Kicukiro,1298,2024-01-02
Beans (Dry),Kicukiro,1295,2024-01-04
Beans (Dry),Kimisagara,1166,2024-01-05
Cabbage,Nyabugogo,390,2024-01-05
Maize Flour,Nyabugogo,3679,2024-01-05
Potatoes,Kimisagara,723,2024-01-05
Potatoes,Kigali City Market,836,2024-01-05
Sorghum,Kicukiro,730,2024-01-06
Maize,Nyabugogo,507,2024-01-07
Flour,Kigali City Market,3861,2024-01-07
Rice,Nyabugogo,10662,2024-01-08
Rice,Nyabugogo,9763,2024-01-09
Sorghum,Kimironko,735,2024-01-10
Flour,Kicukiro,3626,2024-01-11
Potatoes,Kicukiro,867,2024-01-11
Sorghum,Nyabugogo,689,2024-01-13
Cabbage,Nyabugogo,397,2024-01-13
Flour,Kicukiro,3883,2024-01-14
Maize Flour,Kicukiro,4190,2024-01-15
Flour,Kicukiro,3845,2024-01-15
Beans (Dry),Nyabugogo,1152,2024-01-16
Maize Flour,Kimironko,3876,2024-01-17
Maize Flour,Kicukiro,4072,2024-01-17
Sorghum,Nyabugogo,643,2024-01-17
Beans (Dry),Kimisagara,1169,2024-01-17
Sorghum,Kigali City Market,765,2024-01-18
Beans (Dry),Nyabugogo,1201,2024-01-19
Bananas,Kigali City Market,646,2024-01-19
Flour,Kigali City Market,4038,2024-01-19
Bananas,Nyabugogo,627,2024-01-20
Rice,Kicukiro,11433,2024-01-21
Spinach,Nyabugogo,323,2024-01-21
Maize,Kimironko,538,2024-01-21
Maize,Kimisagara,514,2024-01-22
Flour,Kimisagara,3537,2024-01-22
Cabbage,Kimisagara,395,2024-01-22
Cabbage,Kimisagara,393,2024-01-23
Sorghum,Kimironko,745,2024-01-23
Cabbage,Kimironko,435,2024-01-24
Bananas,Nyabugogo,642,2024-01-24
Potatoes,Kimironko,873,2024-01-25
Bananas,Nyabugogo,623,2024-01-25
Beans (Dry),Kicukiro,1291,2024-01-25
Maize Flour,Kimironko,4089,2024-01-25
Beans (Dry),Kimironko,1312,2024-01-26
Spinach,Kicukiro,344,2024-01-26
Flour,Nyabugogo,3552,2024-01-26
Rice,Kicukiro,11043,2024-01-26
Bananas,Kimironko,680,2024-01-27
Rice,Kicukiro,11481,2024-01-27
Flour,Kicukiro,3806,2024-01-27
Potatoes,Nyabugogo,837,2024-01-27
Cabbage,Kigali City Market,452,2024-01-27
Spinach,Kigali City Market,337,2024-01-27
Sorghum,Kicukiro,738,2024-01-29
Rice,Kimironko,10899,2024-01-29
Cabbage,Kimironko,435,2024-01-29
Cabbage,Nyabugogo,445,2024-01-29
Potatoes,Kicukiro,855,2024-01-29
Flour,Nyabugogo,3713,2024-01-29
Potatoes,Kigali City Market,867,2024-01-29
Beans (Dry),Kicukiro,1301,2024-01-30
Bananas,Kimironko,656,2024-01-30
Bananas,Kigali City Market,723,2024-01-30
Flour,Kimironko,3734,2024-01-31
Maize,Kigali City Market,615,2024-01-31
Flour,Kigali City Market,4152,2024-01-31
Cabbage,Kimisagara,410,2024-01-31
Beans (Dry),Nyabugogo,1210,2024-01-31
Maize,Kicukiro,559,2024-02-01
Bananas,Nyabugogo,623,2024-02-01
Maize Flour,Kimisagara,3891,2024-02-01
Spinach,Kimironko,336,2024-02-01
Cabbage,Kimisagara,417,2024-02-01
Beans (Dry),Kimisagara,1259,2024-02-02
Bananas,Kicukiro,722,2024-02-03
Bananas,Nyabugogo,612,2024-02-04
Spinach,Kimisagara,324,2024-02-04
Cabbage,Kigali City Market,478,2024-02-04
Beans (Dry),Kimironko,1314,2024-02-04
Bananas,Kimironko,680,2024-02-04
Potatoes,Kigali City Market,890,2024-02-05
Sorghum,Nyabugogo,685,2024-02-05
Maize,Nyabugogo,522,2024-02-05
Maize,Kimisagara,522,2024-02-05
Spinach,Kimisagara,309,2024-02-05
Maize,Kigali City Market,631,2024-02-06
Spinach,Kimironko,355,2024-02-07
Maize,Kigali City Market,582,2024-02-07
Spinach,Kicukiro,356,2024-02-07
Potatoes,Kimisagara,857,2024-02-07
Beans (Dry),Kimironko,1297,2024-02-07
Cabbage,Kimisagara,411,2024-02-08
Cabbage,Nyabugogo,417,2024-02-08
